City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,barra dos coqueiros,-10.9089,-37.0386,27.01,78,20,5.14,BR,2023-12-10
110,stanley,54.868,-1.6985,6.55,89,75,5.66,GB,2023-12-10
111,san antonio de pale,-1.4014,5.6325,27.18,80,55,5.36,GQ,2023-12-10
112,horta,38.5333,-28.6333,18.34,91,100,9.83,PT,2023-12-10
113,olonkinbyen,70.9221,-8.7187,-5.84,64,100,4.21,SJ,2023-12-10
114,ad dabbah,18.05,30.95,19.49,24,46,3.27,SD,2023-12-10
115,vorgashor,67.5833,63.95,-23.53,100,100,2.1,RU,2023-12-10
116,bardai,11.65,7.2333,17.55,17,67,3.41,NG,2023-12-10
117,namtsy,62.7161,129.6658,-32.85,99,100,1.78,RU,2023-12-10
118,sechura,-5.5569,-80.8222,22.02,75,86,6.79,PE,2023-12-10
119,amarante do maranhao,-5.5667,-46.7422,23.51,88,51,0.32,BR,2023-12-10
120,akureyri,65.6835,-18.0878,-13.04,78,40,2.06,IS,2023-12-10
121,acarau,-2.8856,-40.12,26.88,76,65,7.52,BR,2023-12-10
122,paciran,-6.8767,112.3761,29.45,68,99,3.41,ID,2023-12-10
123,berdigestyakh,62.0989,126.6992,-28.53,95,100,3.52,RU,2023-12-10
124,tobelo,1.7284,128.0095,29.02,71,60,2.01,ID,2023-12-10
125,badagry,6.4167,2.8833,26.49,85,0,2.68,NG,2023-12-10
126,prienai,54.6333,23.95,-2.85,94,100,4.9,LT,2023-12-10
127,guarapari,-20.6667,-40.4975,22.72,90,100,5.12,BR,2023-12-10
128,choma,-16.8065,26.9531,22.14,46,42,0.71,ZM,2023-12-10
129,masuguru,-11.3667,38.4167,23.17,93,36,0.95,TZ,2023-12-10
130,peace river,56.2501,-117.286,-9.83,85,75,1.03,CA,2023-12-10
131,yeniseysk,58.4497,92.1703,-31.7,99,85,0.89,RU,2023-12-10
132,mantua,45.1667,10.7833,4.64,91,100,2.68,IT,2023-12-10
133,fayroz koh,34.5195,65.2509,-0.21,46,100,1.82,AF,2023-12-10
134,samalut,28.3121,30.7101,14.28,51,5,2.35,EG,2023-12-10
135,sisimiut,66.9395,-53.6735,-6.6,87,95,4.04,GL,2023-12-10
136,siniscola,40.5719,9.6922,14.75,79,100,6.51,IT,2023-12-10
137,nizhnyaya poyma,56.1622,97.1933,-32.97,99,30,1.11,RU,2023-12-10
138,keflavik,64.0049,-22.5624,0.24,86,20,3.09,IS,2023-12-10
139,yuzhno-kurilsk,44.0306,145.8556,3.54,75,91,6.03,RU,2023-12-10
140,joao pinheiro,-17.7425,-46.1725,22.58,72,1,3.32,BR,2023-12-10
141,leava,-14.3,-178.1667,28.46,71,100,2.46,WF,2023-12-10
142,arraial do cabo,-22.9661,-42.0278,23.09,72,100,3.12,BR,2023-12-10
143,freetown,8.484,-13.2299,27.84,83,40,2.06,SL,2023-12-10
144,sibolga,1.7427,98.7792,26.61,86,100,0.37,ID,2023-12-10
145,kruisfontein,-34.0033,24.7314,13.27,89,96,1.92,ZA,2023-12-10
146,namibe,-15.1961,12.1522,23.85,82,100,2.38,AO,2023-12-10
147,campbell river,50.0163,-125.2446,4.14,100,100,5.14,CA,2023-12-10
148,fale old settlement,-9.3852,-171.2468,29.12,73,100,3.32,TK,2023-12-10
149,tralee,52.2704,-9.7026,7.77,93,100,2.86,IE,2023-12-10
150,margate,51.3813,1.3862,9.37,67,7,5.81,GB,2023-12-10
151,kandava,57.0409,22.7747,-5.87,96,100,3.43,LV,2023-12-10
152,dickson city,41.4715,-75.6077,8.86,78,100,0.89,US,2023-12-10
153,tsengel,49.4783,100.8894,-21.51,91,18,0.7,MN,2023-12-10
154,dongning,44.0622,131.1207,-10.9,55,5,6.04,CN,2023-12-10
155,gaspe,48.8334,-64.4819,0.95,93,0,1.54,CA,2023-12-10
156,choyr,46.3611,108.3611,-17.47,65,100,1.15,MN,2023-12-10
157,boca do acre,-8.7522,-67.3978,25.33,78,100,0.53,BR,2023-12-10
158,port augusta,-32.5,137.7667,18.82,81,100,7.64,AU,2023-12-10
159,galle,6.0367,80.217,25.67,86,46,1.42,LK,2023-12-10
160,coracao de jesus,-16.6853,-44.365,24.88,51,90,4.43,BR,2023-12-10
161,bharatpur,27.2167,77.4833,14.25,42,0,1.91,IN,2023-12-10
162,hailey,43.5196,-114.3153,-6.08,86,40,0.0,US,2023-12-10
163,afaahiti,-17.75,-149.2833,28.93,84,93,10.34,PF,2023-12-10
164,happy valley-goose bay,53.3168,-60.3315,-9.83,67,20,3.09,CA,2023-12-10
165,dunedin,-45.8742,170.5036,15.45,52,98,2.68,NZ,2023-12-10
166,funafuti,-8.5243,179.1942,31.0,74,75,4.63,TV,2023-12-10
167,lerwick,60.1545,-1.1494,7.0,89,100,9.06,GB,2023-12-10
168,batang,-6.4846,110.7083,29.79,63,41,3.9,ID,2023-12-10
